timestamp,pair,bid,ask,spread
1712927657,btc_mxn,1164890,1167740,0.24406117800195248
1712927659,btc_mxn,1164860,1167720,0.24492172781146165
1712927660,btc_mxn,1164860,1167710,0.24406744825341908
1712927661,btc_mxn,1164860,1167690,0.24235884524145965
1712927663,btc_mxn,1164860,1167640,0.23808708163475042
1712927664,btc_mxn,1164860,1167600,0.23466940733127784
1712927666,btc_mxn,1164860,1167580,0.23296048236523406
1712927667,btc_mxn,1164860,1167550,0.2303969851398227
1712927669,btc_mxn,1162410,1167480,0.4342686812622058
1712927670,btc_mxn,1162410,1167490,0.43512149997002114
1712927671,btc_mxn,1162420,1167750,0.4564333119246414
1712927673,btc_mxn,1162400,1167410,0.42915513829759894
1712927674,btc_mxn,1162450,1167350,0.4197541440013706
1712927675,btc_mxn,1162500,1167300,0.4112053456694937
1712927677,btc_mxn,1162570,1167300,0.40520860104514694
