timestamp,pair,bid,ask,spread
1712927616,btc_mxn,1164050,1167230,0.2724398790298399
1712927617,btc_mxn,1164050,1167660,0.30916533922545947
1712927619,btc_mxn,1164050,1167100,0.2613315054408363
1712927620,btc_mxn,1164050,1167070,0.25876768317238896
1712927622,btc_mxn,1164070,1167050,0.25534467246476156
1712927623,btc_mxn,1164110,1166980,0.24593394916793776
1712927624,btc_mxn,1164130,1166920,0.23909094025297364
1712927626,btc_mxn,1164130,1166890,0.23652615070829297
1712927627,btc_mxn,1164130,1166890,0.23652615070829297
1712927629,btc_mxn,1164130,1166890,0.23652615070829297
1712927630,btc_mxn,1164150,1166890,0.23481219309446477
1712927632,btc_mxn,1164150,1166890,0.23481219309446477
1712927633,btc_mxn,1164150,1166890,0.23481219309446477
1712927635,btc_mxn,1164150,1167640,0.2988934945702443
