timestamp,pair,bid,ask,spread
1712927636,btc_mxn,1164860,1167600,0.23466940733127784
1712927638,btc_mxn,1164870,1167550,0.22954049077127317
1712927639,btc_mxn,1164870,1167490,0.22441305707115264
1712927640,btc_mxn,1164870,1167490,0.22441305707115264
1712927642,btc_mxn,1164870,1167490,0.22441305707115264
1712927643,btc_mxn,1164870,1167470,0.22270379538660523
1712927644,btc_mxn,1164870,1167410,0.21757565893730565
1712927646,btc_mxn,1164870,1167360,0.21330180921052633
1712927647,btc_mxn,1164870,1167320,0.20988246581914127
1712927649,btc_mxn,1164870,1167300,0.2081727062451812
1712927650,btc_mxn,1164870,1167290,0.20731780448731676
1712927651,btc_mxn,1164880,1167290,0.2064611193448072
1712927653,btc_mxn,1164890,1167290,0.20560443420229763
1712927654,btc_mxn,1164890,1167290,0.20560443420229763
1712927656,btc_mxn,1164890,1167270,0.2038945573860375
