timestamp,pair,bid,ask,spread
1712856159,btc_mxn,1155350,1157300,0.16849563639505746
1712856161,btc_mxn,1155350,1157300,0.16849563639505746
1712856162,btc_mxn,1155350,1157300,0.16849563639505746
1712856163,btc_mxn,1155350,1157300,0.16849563639505746
1712856165,btc_mxn,1155350,1157240,0.16331962255020566
1712856166,btc_mxn,1155350,1157270,0.16590769656173582
1712856167,btc_mxn,1155350,1157220,0.1615941653272498
1712856169,btc_mxn,1155350,1157190,0.15900586766218167
1712856171,btc_mxn,1155350,1157060,0.14778836015418387
1712856172,btc_mxn,1155350,1157010,0.14347326297957666
1712856173,btc_mxn,1155350,1156940,0.13743150033709614
1712856175,btc_mxn,1154860,1157170,0.19962494706914283
1712856176,btc_mxn,1154870,1157150,0.19703582076653847
1712856177,btc_mxn,1154870,1157440,0.2220417473043959
1712856179,btc_mxn,1154890,1157420,0.21858962174491542
